"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","MutantKilled?"
"COAA1","Fail","Pass","Pass","Pass","Pass","Fail","Yes"
"COAA2","Fail","Pass","Pass","Pass","Pass","Fail","Yes"
"COAA3","Fail","Pass","Pass","Pass","Pass","Fail","Yes"
"COAA4","Fail","Pass","Pass","Pass","Pass","Pass","Yes"
"COAA5","Pass","Fail","Pass","Pass","Fail","Pass","Yes"
"COAA6","Pass","Fail","Pass","Pass","Fail","Pass","Yes"
"COAA7","Pass","Fail","Pass","Pass","Pass","Pass","Yes"
"COAA8","Pass","Fail","Pass","Pass","Pass","Pass","Yes"
